kind	width	height	shape	orientation	percent	across	requested	fill	layout	root	letter_jump	dialog
width	383	294	mixedBackdrop	landscape	178.90988	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	295	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	383	295	backdrop	landscape	100	1	1.00000000000	383	mobile	90	hidden	fullscreen
width	383	295	smallBackdrop	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	383	295	square	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	383	295	banner	landscape	100	1	1.00000000000	383	mobile	90	hidden	fullscreen
width	383	295	mixedPortrait	landscape	48.305668	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	295	mixedSquare	landscape	72.458501	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	295	mixedBackdrop	landscape	128.815113	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	295	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	383	295	backdrop	landscape	100	1	1.00000000000	383	desktop	93	hidden	fullscreen
width	383	295	smallBackdrop	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	383	295	square	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	383	295	banner	landscape	100	1	1.00000000000	383	desktop	93	hidden	fullscreen
width	383	295	mixedPortrait	landscape	49.915856	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	295	mixedSquare	landscape	74.873785	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	295	mixedBackdrop	landscape	133.108951	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	295	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	383	295	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	383	295	smallBackdrop	landscape	50	2	2.00000000000	192	tv	125	hidden	fullscreen
width	383	295	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	383	295	banner	landscape	100	1	1.00000000000	383	tv	125	hidden	fullscreen
width	383	295	mixedPortrait	landscape	67.091205	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	295	mixedSquare	landscape	100.636807	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	295	mixedBackdrop	landscape	178.90988	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	383	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	383	383	backdrop	landscape	100	1	1.00000000000	383	mobile	90	hidden	fullscreen
width	383	383	smallBackdrop	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	383	383	square	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	383	383	banner	landscape	100	1	1.00000000000	383	mobile	90	hidden	fullscreen
width	383	383	mixedPortrait	landscape	48.305668	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	383	mixedSquare	landscape	72.458501	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	383	mixedBackdrop	landscape	128.815113	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	383	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	383	383	backdrop	landscape	100	1	1.00000000000	383	desktop	93	hidden	fullscreen
width	383	383	smallBackdrop	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	383	383	square	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	383	383	banner	landscape	100	1	1.00000000000	383	desktop	93	hidden	fullscreen
width	383	383	mixedPortrait	landscape	49.915856	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	383	mixedSquare	landscape	74.873785	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	383	mixedBackdrop	landscape	133.108951	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	383	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	383	383	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	383	383	smallBackdrop	landscape	50	2	2.00000000000	192	tv	125	hidden	fullscreen
width	383	383	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	383	383	banner	landscape	100	1	1.00000000000	383	tv	125	hidden	fullscreen
width	383	383	mixedPortrait	landscape	67.091205	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	383	mixedSquare	landscape	100.636807	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	383	mixedBackdrop	landscape	178.90988	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	384	portrait	portrait	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	383	384	backdrop	portrait	100	1	1.00000000000	383	mobile	90	hidden	fullscreen
width	383	384	smallBackdrop	portrait	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	383	384	square	portrait	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	383	384	banner	portrait	100	1	1.00000000000	383	mobile	90	hidden	fullscreen
width	383	384	mixedPortrait	portrait	48.305668	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	384	mixedSquare	portrait	72.458501	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	384	mixedBackdrop	portrait	128.815113	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	383	384	portrait	portrait	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	383	384	backdrop	portrait	100	1	1.00000000000	383	desktop	93	hidden	fullscreen
width	383	384	smallBackdrop	portrait	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	383	384	square	portrait	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	383	384	banner	portrait	100	1	1.00000000000	383	desktop	93	hidden	fullscreen
width	383	384	mixedPortrait	portrait	49.915856	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	384	mixedSquare	portrait	74.873785	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	384	mixedBackdrop	portrait	133.108951	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	383	384	portrait	portrait	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	383	384	backdrop	portrait	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	383	384	smallBackdrop	portrait	50	2	2.00000000000	192	tv	125	hidden	fullscreen
width	383	384	square	portrait	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	383	384	banner	portrait	100	1	1.00000000000	383	tv	125	hidden	fullscreen
width	383	384	mixedPortrait	portrait	67.091205	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	384	mixedSquare	portrait	100.636807	1	4.00000000000	96	tv	125	hidden	fullscreen
width	383	384	mixedBackdrop	portrait	178.90988	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	295	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	384	295	backdrop	landscape	100	1	1.00000000000	384	mobile	90	hidden	fullscreen
width	384	295	smallBackdrop	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	384	295	square	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	384	295	banner	landscape	100	1	1.00000000000	384	mobile	90	hidden	fullscreen
width	384	295	mixedPortrait	landscape	48.179872	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	295	mixedSquare	landscape	72.269807	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	295	mixedBackdrop	landscape	128.479657	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	295	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	384	295	backdrop	landscape	100	1	1.00000000000	384	desktop	93	hidden	fullscreen
width	384	295	smallBackdrop	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	384	295	square	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	384	295	banner	landscape	100	1	1.00000000000	384	desktop	93	hidden	fullscreen
width	384	295	mixedPortrait	landscape	49.785867	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	295	mixedSquare	landscape	74.678801	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	295	mixedBackdrop	landscape	132.762313	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	295	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	384	295	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	384	295	smallBackdrop	landscape	50	2	2.00000000000	192	tv	125	hidden	fullscreen
width	384	295	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	384	295	banner	landscape	100	1	1.00000000000	384	tv	125	hidden	fullscreen
width	384	295	mixedPortrait	landscape	66.916488	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	295	mixedSquare	landscape	100.374732	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	295	mixedBackdrop	landscape	178.443969	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	296	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	384	296	backdrop	landscape	100	1	1.00000000000	384	mobile	90	hidden	fullscreen
width	384	296	smallBackdrop	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	384	296	square	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	384	296	banner	landscape	100	1	1.00000000000	384	mobile	90	hidden	fullscreen
width	384	296	mixedPortrait	landscape	48.179872	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	296	mixedSquare	landscape	72.269807	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	296	mixedBackdrop	landscape	128.479657	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	296	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	384	296	backdrop	landscape	100	1	1.00000000000	384	desktop	93	hidden	fullscreen
width	384	296	smallBackdrop	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	384	296	square	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	384	296	banner	landscape	100	1	1.00000000000	384	desktop	93	hidden	fullscreen
width	384	296	mixedPortrait	landscape	49.785867	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	296	mixedSquare	landscape	74.678801	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	296	mixedBackdrop	landscape	132.762313	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	296	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	384	296	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	384	296	smallBackdrop	landscape	50	2	2.00000000000	192	tv	125	hidden	fullscreen
width	384	296	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	384	296	banner	landscape	100	1	1.00000000000	384	tv	125	hidden	fullscreen
width	384	296	mixedPortrait	landscape	66.916488	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	296	mixedSquare	landscape	100.374732	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	296	mixedBackdrop	landscape	178.443969	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	384	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	384	384	backdrop	landscape	100	1	1.00000000000	384	mobile	90	hidden	fullscreen
width	384	384	smallBackdrop	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	384	384	square	landscape	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	384	384	banner	landscape	100	1	1.00000000000	384	mobile	90	hidden	fullscreen
width	384	384	mixedPortrait	landscape	48.179872	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	384	mixedSquare	landscape	72.269807	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	384	mixedBackdrop	landscape	128.479657	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	384	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	384	384	backdrop	landscape	100	1	1.00000000000	384	desktop	93	hidden	fullscreen
width	384	384	smallBackdrop	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	384	384	square	landscape	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	384	384	banner	landscape	100	1	1.00000000000	384	desktop	93	hidden	fullscreen
width	384	384	mixedPortrait	landscape	49.785867	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	384	mixedSquare	landscape	74.678801	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	384	mixedBackdrop	landscape	132.762313	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	384	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	384	384	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	384	384	smallBackdrop	landscape	50	2	2.00000000000	192	tv	125	hidden	fullscreen
width	384	384	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	384	384	banner	landscape	100	1	1.00000000000	384	tv	125	hidden	fullscreen
width	384	384	mixedPortrait	landscape	66.916488	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	384	mixedSquare	landscape	100.374732	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	384	mixedBackdrop	landscape	178.443969	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	385	portrait	portrait	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	384	385	backdrop	portrait	100	1	1.00000000000	384	mobile	90	hidden	fullscreen
width	384	385	smallBackdrop	portrait	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	384	385	square	portrait	50	2	2.00000000000	192	mobile	90	hidden	fullscreen
width	384	385	banner	portrait	100	1	1.00000000000	384	mobile	90	hidden	fullscreen
width	384	385	mixedPortrait	portrait	48.179872	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	385	mixedSquare	portrait	72.269807	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	385	mixedBackdrop	portrait	128.479657	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	384	385	portrait	portrait	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	384	385	backdrop	portrait	100	1	1.00000000000	384	desktop	93	hidden	fullscreen
width	384	385	smallBackdrop	portrait	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	384	385	square	portrait	50	2	2.00000000000	192	desktop	93	hidden	fullscreen
width	384	385	banner	portrait	100	1	1.00000000000	384	desktop	93	hidden	fullscreen
width	384	385	mixedPortrait	portrait	49.785867	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	385	mixedSquare	portrait	74.678801	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	385	mixedBackdrop	portrait	132.762313	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	384	385	portrait	portrait	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	384	385	backdrop	portrait	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	384	385	smallBackdrop	portrait	50	2	2.00000000000	192	tv	125	hidden	fullscreen
width	384	385	square	portrait	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	384	385	banner	portrait	100	1	1.00000000000	384	tv	125	hidden	fullscreen
width	384	385	mixedPortrait	portrait	66.916488	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	385	mixedSquare	portrait	100.374732	1	4.00000000000	96	tv	125	hidden	fullscreen
width	384	385	mixedBackdrop	portrait	178.443969	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	296	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	385	296	backdrop	landscape	100	1	1.00000000000	385	mobile	90	hidden	fullscreen
width	385	296	smallBackdrop	landscape	50	2	2.00000000000	193	mobile	90	hidden	fullscreen
width	385	296	square	landscape	50	2	2.00000000000	193	mobile	90	hidden	fullscreen
width	385	296	banner	landscape	100	1	1.00000000000	385	mobile	90	hidden	fullscreen
width	385	296	mixedPortrait	landscape	48.054729	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	296	mixedSquare	landscape	72.082093	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	296	mixedBackdrop	landscape	128.145944	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	296	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	385	296	backdrop	landscape	100	1	1.00000000000	385	desktop	93	hidden	fullscreen
width	385	296	smallBackdrop	landscape	50	2	2.00000000000	193	desktop	93	hidden	fullscreen
width	385	296	square	landscape	50	2	2.00000000000	193	desktop	93	hidden	fullscreen
width	385	296	banner	landscape	100	1	1.00000000000	385	desktop	93	hidden	fullscreen
width	385	296	mixedPortrait	landscape	49.656553	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	296	mixedSquare	landscape	74.48483	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	296	mixedBackdrop	landscape	132.417475	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	296	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	385	296	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	385	296	smallBackdrop	landscape	50	2	2.00000000000	193	tv	125	hidden	fullscreen
width	385	296	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	385	296	banner	landscape	100	1	1.00000000000	385	tv	125	hidden	fullscreen
width	385	296	mixedPortrait	landscape	66.742679	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	296	mixedSquare	landscape	100.114019	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	296	mixedBackdrop	landscape	177.980478	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	297	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	385	297	backdrop	landscape	100	1	1.00000000000	385	mobile	90	hidden	fullscreen
width	385	297	smallBackdrop	landscape	50	2	2.00000000000	193	mobile	90	hidden	fullscreen
width	385	297	square	landscape	50	2	2.00000000000	193	mobile	90	hidden	fullscreen
width	385	297	banner	landscape	100	1	1.00000000000	385	mobile	90	hidden	fullscreen
width	385	297	mixedPortrait	landscape	48.054729	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	297	mixedSquare	landscape	72.082093	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	297	mixedBackdrop	landscape	128.145944	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	297	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	385	297	backdrop	landscape	100	1	1.00000000000	385	desktop	93	hidden	fullscreen
width	385	297	smallBackdrop	landscape	50	2	2.00000000000	193	desktop	93	hidden	fullscreen
width	385	297	square	landscape	50	2	2.00000000000	193	desktop	93	hidden	fullscreen
width	385	297	banner	landscape	100	1	1.00000000000	385	desktop	93	hidden	fullscreen
width	385	297	mixedPortrait	landscape	49.656553	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	297	mixedSquare	landscape	74.48483	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	297	mixedBackdrop	landscape	132.417475	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	297	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	385	297	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	385	297	smallBackdrop	landscape	50	2	2.00000000000	193	tv	125	hidden	fullscreen
width	385	297	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	385	297	banner	landscape	100	1	1.00000000000	385	tv	125	hidden	fullscreen
width	385	297	mixedPortrait	landscape	66.742679	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	297	mixedSquare	landscape	100.114019	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	297	mixedBackdrop	landscape	177.980478	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	385	portrait	landscape	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	385	385	backdrop	landscape	100	1	1.00000000000	385	mobile	90	hidden	fullscreen
width	385	385	smallBackdrop	landscape	50	2	2.00000000000	193	mobile	90	hidden	fullscreen
width	385	385	square	landscape	50	2	2.00000000000	193	mobile	90	hidden	fullscreen
width	385	385	banner	landscape	100	1	1.00000000000	385	mobile	90	hidden	fullscreen
width	385	385	mixedPortrait	landscape	48.054729	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	385	mixedSquare	landscape	72.082093	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	385	mixedBackdrop	landscape	128.145944	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	385	portrait	landscape	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	385	385	backdrop	landscape	100	1	1.00000000000	385	desktop	93	hidden	fullscreen
width	385	385	smallBackdrop	landscape	50	2	2.00000000000	193	desktop	93	hidden	fullscreen
width	385	385	square	landscape	50	2	2.00000000000	193	desktop	93	hidden	fullscreen
width	385	385	banner	landscape	100	1	1.00000000000	385	desktop	93	hidden	fullscreen
width	385	385	mixedPortrait	landscape	49.656553	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	385	mixedSquare	landscape	74.48483	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	385	mixedBackdrop	landscape	132.417475	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	385	portrait	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	385	385	backdrop	landscape	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	385	385	smallBackdrop	landscape	50	2	2.00000000000	193	tv	125	hidden	fullscreen
width	385	385	square	landscape	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	385	385	banner	landscape	100	1	1.00000000000	385	tv	125	hidden	fullscreen
width	385	385	mixedPortrait	landscape	66.742679	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	385	mixedSquare	landscape	100.114019	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	385	mixedBackdrop	landscape	177.980478	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	386	portrait	portrait	33.333333	3	3.00000000030	128	mobile	90	hidden	fullscreen
width	385	386	backdrop	portrait	100	1	1.00000000000	385	mobile	90	hidden	fullscreen
width	385	386	smallBackdrop	portrait	50	2	2.00000000000	193	mobile	90	hidden	fullscreen
width	385	386	square	portrait	50	2	2.00000000000	193	mobile	90	hidden	fullscreen
width	385	386	banner	portrait	100	1	1.00000000000	385	mobile	90	hidden	fullscreen
width	385	386	mixedPortrait	portrait	48.054729	2	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	386	mixedSquare	portrait	72.082093	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	386	mixedBackdrop	portrait	128.145944	1	4.00000000000	96	mobile	90	hidden	fullscreen
width	385	386	portrait	portrait	33.333333	3	3.00000000030	128	desktop	93	hidden	fullscreen
width	385	386	backdrop	portrait	100	1	1.00000000000	385	desktop	93	hidden	fullscreen
width	385	386	smallBackdrop	portrait	50	2	2.00000000000	193	desktop	93	hidden	fullscreen
width	385	386	square	portrait	50	2	2.00000000000	193	desktop	93	hidden	fullscreen
width	385	386	banner	portrait	100	1	1.00000000000	385	desktop	93	hidden	fullscreen
width	385	386	mixedPortrait	portrait	49.656553	2	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	386	mixedSquare	portrait	74.48483	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	386	mixedBackdrop	portrait	132.417475	1	4.00000000000	96	desktop	93	hidden	fullscreen
width	385	386	portrait	portrait	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	385	386	backdrop	portrait	25	4	4.00000000000	96	tv	125	hidden	fullscreen
width	385	386	smallBackdrop	portrait	50	2	2.00000000000	193	tv	125	hidden	fullscreen
width	385	386	square	portrait	16.666667	6	5.99999999880	64	tv	125	hidden	fullscreen
width	385	386	banner	portrait	100	1	1.00000000000	385	tv	125	hidden	fullscreen
width	385	386	mixedPortrait	portrait	66.742679	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	386	mixedSquare	portrait	100.114019	1	4.00000000000	96	tv	125	hidden	fullscreen
width	385	386	mixedBackdrop	portrait	177.980478	1	4.00000000000	96	tv	125	hidden	fullscreen
width	399	306	portrait	landscape	33.333333	3	3.00000000030	133	mobile	90	hidden	fullscreen
width	399	306	backdrop	landscape	100	1	1.00000000000	399	mobile	90	hidden	fullscreen
width	399	306	smallBackdrop	landscape	50	2	2.00000000000	200	mobile	90	hidden	fullscreen
width	399	306	square	landscape	50	2	2.00000000000	200	mobile	90	hidden	fullscreen
width	399	306	banner	landscape	100	1	1.00000000000	399	mobile	90	hidden	fullscreen
width	399	306	mixedPortrait	landscape	46.368598	2	4.00000000000	100	mobile	90	hidden	fullscreen
width	399	306	mixedSquare	landscape	69.552897	1	4.00000000000	100	mobile	90	hidden	fullscreen
width	399	306	mixedBackdrop	landscape	123.649595	1	4.00000000000	100	mobile	90	hidden	fullscreen
width	399	306	portrait	landscape	33.333333	3	3.00000000030	133	desktop	93	hidden	fullscreen
width	399	306	backdrop	landscape	100	1	1.00000000000	399	desktop	93	hidden	fullscreen
width	399	306	smallBackdrop	landscape	50	2	2.00000000000	200	desktop	93	hidden	fullscreen
width	399	306	square	landscape	50	2	2.00000000000	200	desktop	93	hidden	fullscreen
width	399	306	banner	landscape	100	1	1.00000000000	399	desktop	93	hidden	fullscreen
width	399	306	mixedPortrait	landscape	47.914218	2	4.00000000000	100	desktop	93	hidden	fullscreen
